Rank,Place_ID,GEO.display-label,State,Pop 2010,LivScore,Economics,Healthcare,Housing,Social and Civic Capital,Education,Amenities,Demographics,Infrastructure
1,0655282,Palo Alto,California,"64,403",646,54,46,51,74,85,82,69,67
2,0807850,Boulder,Colorado,"97,385",643,54,73,57,70,89,78,25,70
3,0606000,Berkeley,California,"112,580",643,58,57,41,76,89,79,56,68
4,3719000,Durham,North Carolina,"228,330",640,60,78,47,52,70,84,73,50
5,5548000,Madison,Wisconsin,"233,209",639,66,71,54,73,71,80,34,62
6,1245025,Miami Beach,Florida,"87,779",639,54,82,25,68,68,89,58,76
7,2754880,Rochester,Minnesota,"106,769",636,69,56,68,62,71,70,63,48
8,4967000,Salt Lake City,Utah,"186,440",635,52,86,45,54,73,83,50,66
9,4123850,Eugene,Oregon,"156,185",633,53,63,49,77,81,87,35,65
10,3260600,Reno,Nevada,"225,221",631,53,83,45,51,70,90,66,48
11,2467675,Rockville,Maryland,"61,209",631,68,39,64,76,62,71,66,63
12,1608830,Boise City,Idaho,"205,671",630,51,72,59,69,77,83,41,53
13,5305210,Bellevue,Washington,"122,363",630,55,31,54,69,78,86,77,64
14,2603000,Ann Arbor,Michigan,"113,934",627,47,68,40,77,92,73,43,72
15,4164900,Salem,Oregon,"154,637",626,55,74,52,43,65,83,66,64
16,0669084,Santa Clara,California,"116,468",622,57,46,55,63,61,83,85,55
17,4962470,Provo,Utah,"112,488",622,51,80,57,71,73,70,28,66
18,2053775,Overland Park,Kansas,"173,372",621,60,52,60,76,86,71,54,42
19,3728000,Greensboro,North Carolina,"269,666",620,51,78,40,55,81,81,74,39
20,1271000,Tampa,Florida,"335,709",620,47,80,31,42,73,93,75,62
21,0656000,Pasadena,California,"137,122",620,53,54,40,59,75,88,68,68
22,0600884,Alhambra,California,"83,089",619,55,81,42,51,68,61,79,63
23,3008950,Bozeman,Montana,"37,280",617,61,85,53,82,79,59,9,62
24,3681677,White Plains,New York,"56,853",615,59,48,46,79,65,62,71,72
25,1224000,Fort Lauderdale,Florida,"165,521",615,48,72,31,65,73,82,60,70
26,5305280,Bellingham,Washington,"80,885",615,55,75,54,75,74,72,28,59
27,5114968,Charlottesville,Virginia,"43,475",614,44,89,48,68,67,63,43,71
28,2146027,Lexington-Fayette urban county,Kentucky,"295,803",613,54,75,47,65,82,80,51,36
29,0602000,Anaheim,California,"336,265",613,41,71,48,37,71,88,82,57
30,1912000,Cedar Rapids,Iowa,"126,326",613,63,77,56,65,69,68,43,46
31,0137000,Huntsville,Alabama,"180,105",613,49,67,53,71,79,79,64,30
32,1901855,Ames,Iowa,"58,965",612,62,85,55,77,74,48,28,57
